pid,trial,task,group,peak_N
073,SLS_back_pre1,SLS back,Rectus femoris,2352.13830285
073,SLS_back_pre1,SLS back,Tibialis anterior,1440.35143293
073,SLS_back_pre1,SLS back,Piriformis,1121.49223753
073,SLS_back_pre2,SLS back,Vasti,11071.523201799999
073,SLS_back_pre2,SLS back,Gluteus maximus,3209.90969994
073,SLS_back_pre2,SLS back,Gluteus medius,2725.54228527
073,SLS_back_pre2,SLS back,Gluteus minimus,1217.52611074
073,SLS_back_pre2,SLS back,Hamstrings,4892.82994898
073,SLS_back_pre2,SLS back,Adductors,3416.0230448499997
073,SLS_back_pre2,SLS back,Triceps surae,10368.649306020001
073,SLS_back_pre2,SLS back,Iliopsoas,2654.0267730699998
073,SLS_back_pre2,SLS back,Rectus femoris,2321.21279385
073,SLS_back_pre2,SLS back,Tibialis anterior,1203.30341276
073,SLS_back_pre2,SLS back,Piriformis,1010.7452198
073,SLS_back_pre3,SLS back,Vasti,11064.53159144
073,SLS_back_pre3,SLS back,Gluteus maximus,3250.36000036
073,SLS_back_pre3,SLS back,Gluteus medius,2883.56434272
073,SLS_back_pre3,SLS back,Gluteus minimus,1182.12894301
073,SLS_back_pre3,SLS back,Hamstrings,4791.15430993
073,SLS_back_pre3,SLS back,Adductors,3381.49673489
073,SLS_back_pre3,SLS back,Triceps surae,10335.637478910001
073,SLS_back_pre3,SLS back,Iliopsoas,2616.4355583300003
073,SLS_back_pre3,SLS back,Rectus femoris,2343.63531888
073,SLS_back_pre3,SLS back,Tibialis anterior,1252.96260857
073,SLS_back_pre3,SLS back,Piriformis,1013.94215079
073,SLS_front_pre1,SLS front,Vasti,11191.19269917
073,SLS_front_pre1,SLS front,Gluteus maximus,2963.25852549
073,SLS_front_pre1,SLS front,Gluteus medius,2088.81723933
073,SLS_front_pre1,SLS front,Gluteus minimus,1296.9104020300001
073,SLS_front_pre1,SLS front,Hamstrings,4138.32187064
073,SLS_front_pre1,SLS front,Adductors,3541.55681347
073,SLS_front_pre1,SLS front,Triceps surae,10716.68541377
073,SLS_front_pre1,SLS front,Iliopsoas,2666.20556234
